epoch,train loss,Truncated Lq, Truncated Lq,Lq,Truncated Lq,CCE,MAE,Lq,CCE,MAE
0,0.499175777,22.446,0.259989922,39.8,41.05,40.92,12.9,23.944,22.44,10.634
1,0.422061028,28.992,0.168833003,47.16,55.14,47.23,10.69,32.448,29.782,10.832
2,0.363337901,33.812,0.078017165,54.36,55.49,44.4,10.02,36.326,22.724,10.718
3,0.323208222,37.076,-0.026399285,61.36,64.71,48.57,15.7,39.588,30.554,10.538
4,0.290970801,39.55,-0.068016919,64.88,63.54,57.74,11.49,41.856,35.24,10.538
5,0.260229245,41.926,-0.035691993,62.15,71.09,62.23,9.85,43.474,39.666,10.466
6,0.242575435,43.22,-0.083366415,65.93,70.53,70.15,10.52,44.892,42.31,10.532
7,0.227344983,44.54,-0.118315947,68.27,72.97,69.68,12.72,45.994,44.102,10.652
8,0.213043364,45.548,-0.126137432,68.81,71.2,67.53,11.48,46.99,45.788,10.388
9,0.202360737,46.422,-0.188223461,73.58,73.64,74.29,10.33,47.422,46.932,10.668
10,0.192292422,47.234,-0.185798788,73.15,74.95,74.1,10.02,48.35,47.908,10.318
11,0.184185739,47.848,-0.216243308,75.43,76.36,78.21,13.44,48.868,48.924,10.418
12,0.178532438,48.158,-0.242067936,77.36,76.19,76.32,10.07,49.424,49.48,10.326
13,0.171361363,48.728,-0.225346553,76.17,78.78,78.22,10.33,49.724,50.028,10.328
14,0.163796833,49.316,-0.253906877,77.93,80.35,79.07,11.42,50.096,50.774,10.422
15,0.161272444,49.452,-0.259442367,78.58,78.78,79.42,10.07,50.738,51.324,10.498
16,0.155853355,49.886,-0.223950574,76.12,78.01,78.41,10.25,50.85,51.726,10.392
17,0.153971924,50.042,-0.242425155,77.62,80.95,79.06,10.02,51.21,52.098,10.198
18,0.143879374,50.804,-0.233242588,76.84,81.38,79.5,10.1,51.474,52.632,10.456
19,0.142361063,50.98,-0.268730174,79.33,81.44,79.67,10.24,51.758,53.076,10.32
20,0.135819197,51.448,-0.261813878,78.88,80.78,80.69,10.16,52.048,53.506,10.426
21,0.134458585,51.556,-0.300052085,81.54,81.2,79.49,10,52.478,53.654,10.182
22,0.130893745,51.824,-0.304974707,81.9,81.56,80.4,10.33,52.568,54.008,10.528
23,0.126232484,52.172,-0.280337359,80.16,79.59,79.98,9.87,52.882,54.318,10.508
24,0.122879347,52.396,-0.301080741,81.46,81.18,81.56,10.1,53.122,54.696,10.11
25,0.119418517,52.654,-0.294103426,81.08,79.54,80.67,10.14,53.414,55.106,9.944
26,0.119143582,52.704,-0.297708992,81.31,82.54,81.49,10.01,53.73,55.304,10.428
27,0.114752851,53.006,-0.319969985,82.99,83.44,82.95,11.57,53.738,55.558,10.464
28,0.111302901,53.336,-0.308719077,82.27,82.77,80.3,9.93,53.91,55.796,10.272
29,0.110652754,53.384,-0.23877746,77.22,83.28,79.77,10.01,53.938,56.192,10.174
30,0.108263624,53.596,-0.314452484,82.45,83.14,82.49,10.66,54.39,56.254,10.214
31,0.105307466,53.738,-0.314053455,82.57,84.35,79.73,15.3,54.508,56.756,10.206
32,0.105123181,53.69,-0.313632153,82.56,83.49,81.6,10.03,54.586,56.966,10.15
33,0.100371121,54.082,-0.326041626,83.4,83.78,80.99,10.81,54.83,57.096,10.142
34,0.096684513,54.358,-0.323373279,83.12,83.63,78.08,10.08,55.046,57.516,10.12
35,0.09593628,54.398,-0.285366324,80.45,84.95,79.6,13.79,55.188,57.72,10.262
36,0.094158675,54.498,-0.315098548,82.62,84.55,79.71,10.56,55.274,58.038,10.268
37,0.090599389,54.838,-0.345438246,84.83,84.34,79.14,10.02,55.454,58.248,10.086
38,0.087660101,55.036,-0.326310391,83.5,84.69,78.29,9.93,55.906,58.7,10.214
39,-0.257434247,55.34,-0.151702493,79.83,78.02,76.72,10.14,56.138,58.78,10.074
40,-0.268778215,56.232,-0.207279603,86.74,87.33,77.94,17.86,56.896,59.302,12.314
41,-0.279631167,57.02,-0.209306327,86.99,87.53,78.24,13.99,57.512,59.588,12.282
42,-0.282445818,57.18,-0.211205689,87.07,87.7,80.7,14.39,57.56,63.286,12.332
43,-0.283145769,57.282,-0.211560824,87.3,87.78,79.14,12.89,57.788,65.042,12.454
44,-0.284597621,57.476,-0.212225662,87.33,87.77,78.47,15.85,57.88,65.65,12.13
45,-0.285960249,57.564,-0.213299346,87.57,87.92,76.85,9.94,58.008,66.26,12.11
46,-0.286368352,57.618,-0.212627591,87.36,87.9,76.95,14.63,58.052,66.862,11.802
47,-0.286749768,57.482,-0.21326898,87.47,87.96,76.49,14.4,58.09,67.318,12.038
48,-0.287916798,57.69,-0.213576363,87.63,87.9,75.68,10.28,58.032,67.83,12.228
49,-0.296463722,57.796,-0.222989281,87.57,87.84,75.59,15.25,58.146,67.91,11.7
50,-0.296088704,57.764,-0.223935631,87.67,88.12,74.88,12.4,58.242,68.47,12.09
51,-0.297212449,57.838,-0.223669453,87.66,88.25,74.12,15.45,58.348,68.82,11.614
52,-0.298479828,57.848,-0.223902989,87.74,88.36,73.11,14.1,58.37,69.582,11.774
53,-0.299028431,58.072,-0.223144752,87.66,88.24,72.72,11.24,58.512,69.826,11.736
54,-0.299635174,58.02,-0.222593816,87.57,88.29,72.31,15.9,58.408,70.21,11.522
55,-0.30033667,58.08,-0.223579246,87.67,88.12,69.16,11.93,58.564,70.344,11.552
56,-0.300305929,58.098,-0.22391895,87.67,88.36,69.58,10.67,58.592,70.902,11.37
57,-0.301487816,58.148,-0.22520724,87.89,88.12,70.87,12.47,58.562,71.448,11.404
58,-0.302470719,58.262,-0.224295107,87.78,88.1,69.96,11.75,58.696,71.654,11.408
59,-0.302310485,58.306,-0.226463289,87.76,88.11,69.49,14.16,58.654,72.202,11.484
60,-0.301997422,58.276,-0.225920005,87.35,88.33,68.69,13.32,58.598,72.654,11.28
61,-0.302365731,58.364,-0.227757995,87.79,88.29,64.77,10.2,58.604,72.942,11.526
62,-0.302663816,58.264,-0.228285184,87.84,88.25,68,13.57,58.79,73.47,11.002
63,-0.303734112,58.422,-0.227410459,87.67,88.3,67.55,10.04,58.818,73.926,11.102
64,-0.304337091,58.464,-0.227960996,87.8,88.39,65.27,10.56,58.738,74.53,11.438
65,-0.30465827,58.468,-0.227046253,87.77,88.3,68.01,15.64,58.866,74.522,10.754
66,-0.305264178,58.524,-0.227690571,87.95,88.31,64.23,12.81,58.938,75.112,11.236
67,-0.305362457,58.542,-0.227770426,87.82,88.31,63.79,10.6,58.96,75.436,11.218
68,-0.305440845,58.512,-0.227828782,87.84,88.38,65.5,11.8,58.9,75.886,10.984
69,-0.305977247,58.564,-0.228497607,87.77,88.36,65.17,12.85,58.944,76.166,11.228
70,-0.3054206,58.558,-0.228534796,87.72,88.34,63.46,10.45,58.896,76.76,10.582
71,-0.306733627,58.658,-0.229535493,87.77,88.2,63.29,14.31,59.066,77.302,11.012
72,-0.306507799,58.582,-0.227804752,87.74,88.31,60.58,10.25,59.054,77.598,11.106
73,-0.306796063,58.642,-0.229802107,88.01,88.3,61.8,13.51,59.056,77.918,10.674
74,-0.308199714,58.768,-0.230446624,88.01,88.26,60.96,10.73,59.154,78.622,11.126
75,-0.308175782,58.784,-0.229309945,87.81,88.2,58.43,14.82,59.236,78.894,10.642
76,-0.309230845,58.848,-0.228668968,87.84,88.35,62.41,12.99,59.236,79.566,11.026
77,-0.309211905,58.872,-0.228485978,87.9,88.26,61.67,11.22,59.23,80.044,11.282
78,-0.309686883,58.868,-0.228211009,87.76,88.2,58.79,10.66,59.25,80.226,11.116
79,-0.308342551,58.84,-0.230193997,87.87,88.07,60.75,11.71,59.264,80.87,11.322
,,,,,,,,,,
Noise Prop,Train Acc,Test Acc,,,,,,,,
0.2,77.09%,90.34%,,,,,,,,
0.4,58.84%,88.81%,,,,,,,,
0.6,41.35%,81.88%,,,,,,,,
0.8,18.49%,45.64%,,,,,,,,
