epoch,train loss,train acc,test loss,test acc
0,0.600166360457579,10.93,0.5651042238630429,22.24
1,0.597389976581734,11.402,0.5617959589669199,21.38
2,0.5966778675874392,11.728,0.5550040729118116,23.99
3,0.5962437372169418,11.904,0.5273094032749985,28.99
4,0.5948332284160989,11.91,0.514643866606433,27.0
5,0.5937321518131631,12.2,0.5082688774123336,32.35
6,0.5927706377539702,12.378,0.5183607237507598,28.82
7,0.5927415940470112,12.44,0.5017914877395437,29.83
8,0.5922501200664497,12.31,0.5147619596635452,30.64
9,0.5914480240646011,12.466,0.49399022411818455,32.62
10,0.5894370243879024,13.154,0.47093404031763175,37.34
11,0.5897816739722579,13.012,0.501239522539004,32.08
12,0.5890417753575082,13.266,0.47245554641039683,36.39
13,0.5889884275281596,13.324,0.4878807251501565,35.34
14,0.5872261777430594,13.676,0.43583577389668937,36.76
15,0.5865948073610753,13.836,0.4454792244265778,38.79
16,0.5861292138606131,13.64,0.40713397119984485,38.12
17,0.5855439384141283,13.948,0.4650089084500014,35.76
18,0.5863802639659278,14.002,0.41265937445139644,40.18
19,0.5849673753988767,14.126,0.4955952236748705,28.59
20,0.5849500431087548,14.128,0.41159682472546893,41.06
21,0.584501200185749,14.408,0.42249989991236214,41.71
22,0.5824991873127664,14.554,0.406221633607691,41.54
23,0.5820433828300369,14.652,0.4067000277114637,42.01
24,0.5812356868583358,14.816,0.41470502000866516,39.02
25,0.5807005764248376,14.976,0.3796399530738291,43.45
26,0.5802915747275572,14.994,0.42771575065574263,37.37
27,0.5800668975872124,14.92,0.3912067807684041,41.91
28,0.5785391299065225,14.98,0.3995278531854803,40.87
29,0.5766132971447312,15.364,0.3856372872386316,41.99
30,0.5762134744432981,15.486,0.3768969542450375,41.4
31,0.5748283392441774,15.676,0.367613799644239,42.47
32,0.5729663977642098,15.894,0.3745952140201222,43.08
33,0.5718699850156933,16.012,0.3710722236922293,40.64
34,0.5713733915456073,15.9,0.36437496663344027,42.03
35,0.5697687331564679,16.28,0.36060990317903385,41.02
36,0.5690535519548313,16.28,0.347278925806585,41.81
37,0.5691082135350527,16.308,0.3634116074653587,41.55
38,0.5665743377261266,16.584,0.3699333664744791,41.87
39,0.0010061401634792089,17.196,0.01438551420472901,37.57
40,-0.007910024442904551,17.018,0.007991690996718578,44.92
41,-0.015504167337163737,16.846,0.007069752489190829,44.91
42,-0.016586267233689507,16.538,0.0071136080320564985,44.61
43,-0.016998821930324787,16.738,0.007135552909040607,44.77
44,-0.017216013354021367,16.65,0.006975388669657564,44.89
45,-0.017424409306184822,16.726,0.007030457810315332,44.88
46,-0.017389697032067962,16.572,0.006963882900596916,44.77
47,-0.017485281504795166,16.342,0.007190502711719918,44.79
48,-0.01759346275994431,16.39,0.007064265782235158,45.18
49,-0.04756773300543577,16.554,0.03100371364100761,45.03
50,-0.05036712194609088,16.468,0.031299972538648156,44.91
51,-0.053257662628428314,16.486,0.030239835384447654,44.88
52,-0.055797536317576356,16.756,0.03089441451234649,45.39
53,-0.05592474844008087,16.678,0.03035173836667467,45.35
54,-0.05665499459996909,16.8,0.031195562244087194,45.73
55,-0.05863417272562374,16.974,0.03136969545404568,45.36
56,-0.05974034034555595,17.016,0.03108798925185134,45.3
57,-0.060312911288585055,17.074,0.031163158372921794,45.55
58,-0.060440823713873694,17.104,0.03104447265804717,45.67
59,-0.059126828024831074,17.24,0.035862575549423,45.72
60,-0.05993084674936725,17.096,0.03708948711558913,45.22
61,-0.0628635079071732,17.366,0.03608901067954404,45.9
62,-0.06400098559273526,17.504,0.03612419561132544,45.76
63,-0.06464526586174846,17.492,0.03710127808506403,45.46
64,-0.06522904937146212,17.492,0.03835203076919748,45.36
65,-0.06622088855815556,17.684,0.03556446611735443,45.77
66,-0.06708866864431627,17.696,0.03736980032599696,45.98
67,-0.06632058118247915,17.57,0.03774584354915082,45.71
68,-0.06765708852678776,17.612,0.037215407640259296,45.16
69,-0.06545808047283896,17.796,0.040769892328447015,44.46
70,-0.06588900173624197,17.87,0.03724695772939183,46.13
71,-0.0670019023331304,17.97,0.039743939983761974,45.76
72,-0.06714256025112038,17.922,0.04054759418817632,45.36
73,-0.0692493932149961,18.162,0.040519916392495914,45.37
74,-0.06982313750222147,18.178,0.04067382959159787,45.38
75,-0.07097620081589492,18.234,0.04029057445028101,45.09
76,-0.07168876022538581,18.322,0.040127643225291235,45.21
77,-0.07347994595803395,18.356,0.04337268550598034,45.11
78,-0.07448325541900669,18.492,0.040252839731619305,45.64
79,-0.06947354202388313,18.37,0.04319513384358619,45.26
